title,abstract
CLASS SCHEDULER: AN EXPERT SYSTEM TIMETABLING FOR CCS FACULTY MEMBERS USING GENETIC ALGORITHM,"Technology grows as develop, creative innovations also grow. These changes make people’s lives more convenient. In earlier days, time table scheduling was done manually with a single person or some group involved in task of scheduling it manually, which takes a lot of effort and time. The problem with doing it manually is that as the number of variables increases, the complexity and difficulty of the tasks grows exponentially. It becomes very tedious and time consuming as the person has to remember and manage all the constraints. The other major problem is the human bias. A human may make a biased time table which favor some and is against other. It is prone to human errors which can come up because of lack of human attention. In this regard, the researcher aimed to developed a drag and drop scheduler to ease the task and lessen the time of how someone can make a schedule. By using genetic algorithm the researcher was able to reduce the time to require in generate time table which is more accurate, precise and free of human errors. The researcher conducted an experiment in creating a schedule both manually and automatically for College of Computer Studies (CCS) Faculty Members. As a result, the researcher found out that automated scheduler is much better than manual scheduler for non-conflict and accurate schedule."
HUMAN AR: AUGMENTED HUMAN INTERNAL ORGANS,"The researchers developed the mobile application HUMAN AR: AUGMENTED HUMAN INTERNAL ORGANS. This study aimed to; 1. Develop a mobile application that would be more engaging and effective for the students in learning about the Human Internal Organs; 2. Design a mobile application that could use the new form of technology to suit the needs of a learner about the Human System and provide a more effective teaching session amongst the students and its teachers; and 3. Assess the effectiveness of the mobile application based on its Functionality, Reliability, Usability, Efficiency, Maintainability and Portability. In the development of the mobile application, guided questions were laid in attaining the success of the study. The system required answers from students and teachers of Rizal Standard Academy (RSA) to find the level of performance of the mobile application in terms of Functionality, Reliability, Usability, Efficiency, Maintainability and Portability. The study used the descriptive and developmental method of study to analyze the data systematically. The descriptive method describes what actually exist such as present condition, events of the system based on the impression and the reaction of the respondents. The data gathered from the respondents were analyzed, tabulated and interpreted using statistical tools. The result of the study conducted and the developmental method is the systematic study of designing, developing, and evaluating instructional programs, processes, and products that must meet criteria of internal consistency and effectiveness. HUMAN AR: AUGMENTED HUMAN INTERNAL ORGANS showed that respondents had a positive impression on the mobile application. Descriptive and Developmental method was utilized in designing and developing the system. There were eighty – six (86) selected respondents from Rizal Standard Academy who evaluated the overall performance of the mobile application using checklist questionnaire which contains the criteria such as Functionality, Reliability, Usability, Efficiency, Maintainability and Portability. From the findings and conclusion of the study, the mobile application is recommended to be used by Schools. For future programmers, designers, should enhance the developed mobile application by creating it more interactive for users, by adding educational games and using the real human as markers to show the 3D models of the Human System. Also to extend the range of the mobile application, the future programmer or designers should create this mobile application not only for Android Devices but for IOS devices as well."
RFVMS: RADIO FREQUENCY VEHICLE MONITORING SYSTEM; A MODERNIZATION PROJECT,"Technology deals with the creation and use of technical means and interrelation with life, society and environment. With the advance of globalization, transportation is playing an important role. As transportation increases, many vehicles are involved in the transportation of one assignment from one location to another. Radio Frequency Identification (RFID) is often presented as replacement for today’s barcodes, but the technology has much greater possibilities, such as individual serial numbers for each item and the possibility to read these numbers at a distance of several meters. Radio Frequency Identification (RFID) is a generic term that is used to describe a system that transmits the identity (in the form of a unique serial number) of an object or person wirelessly, using radio waves. It’s grouped under the broad category of automatic identification technologies. A typical RFID tag consists of a microchip attached to a radio antenna mounted on a substrate. The chip can store as much as 2 kilobytes of data. For example, information about a product or a shipment date of manufacture destination and sell by date can be written to a tag. A typical reader is a device that has one or more antennas that emit radio waves and receive signals back from the tag. The reader passes the information in digital form to a computer system. Radio Frequency Identification (RFID) is an automatic identification method, relying on storing and remotely retrieving data using devices called RFID tags or transponders. The technology requires the cooperation of an RFID reader and an RFID tag. An RFID tag is an object that can be applied into an object for purpose of identification and tracking. This can be done using radio waves. Some tags can be read from several meters away and beyond the line of sight of the reader Radio Frequency Identification or RFID is an emerging technology that uses wireless radio waves to identify objects from a distance. RFID enables the user to capture real – time information in fast moving and bulky product flows with the aim of achieving a high degree of efficiency and assuring high quality. The RFID tag is the identification device attached to the item to be tracked. The RFID reader and antenna are devices that can recognize the presence of RFID tags and read the information stored on them. (A journal entitled “Vehicle Tracking Using RFID”, 2016)."
JOBS MANAGEMENT AND DISSEMINATION SYSTEM USING SMS TECHNOLOGY FOR PUBLIC EMPLOYMENT SERVICE OFFICE (PESO) AT SANTA CRUZ LAGUNA,"The study entitled, “Jobs Management and Dissemination System using SMS Technology” aimed to develop a system which collects data and to test and evaluate the developed system. Specifically, it sought to accomplish project context to with: 1) identify the functional requirements of the Jobs Management and Dissemination System using SMS Technology; 2) recognize the requirements, if authorizes for the development of the system; and 3) determine the appropriate development tool for the study. In the development of the system, guided questions were laid in managing the success of the study. The researchers used the descriptive method of research to analyze the data systematically. The research method describes what actually exist such as present condition, events of the system based on the impression and the reaction of the respondents. The descriptive method was utilized in designing and developing the system. There were eight (8) selected respondents from the Public Employment Service Office (PESO) who evaluated the overall performance of the system using checklist questionnaire which contains the criteria such as software design; usability; user friendliness and error handling. From the findings and conclusion of the study, the system is recommended to be used by School and may as well adapt the system. For future programmers, designers, enhancing and adding more flash images can be done to be effective and the future researcher may use this study as a reference when conducting similar study."
"FAMS:”WEB-BASED FARM MONITORING SYSTEM WITH 3D MAPPING FOR BRGY. STA CLARA SUR PILA, LAGUNA”","The researchers developed an application entitled “ER: Emergency Response with SMS technology. This study aims to; 1. to design a system that will give information to the hospital about the patient’s condition; 2. to create a system that will send SMS notification to the doctor whose expertise lies within the patient's condition based on the gathered data in the ambulance. To identify their weaknesses in terms of places inside the Philippines; 3. to evaluate the ER: Emergency Response with SMS Technology using TAM and ISO standard. In the development of the system, guided questions were laid in attaining the success of the study. The system required answers from students  and teachers of Laguna State Polytechnic University (LSPU) to find the level of performance of the system in terms of system design; system usability; user friendliness, error handling and system security. The study used the descriptive method of search to analyze the data systematically. The research method describes what actually exist such as present condition, events of the system based on the impression and the reaction of the respondents. The data gathered from the respondents were analyzed, tabulated and interpreted using statistical tools. The result of the study conducted. ER: Emergency Response with SMS Technology showed that respondents had a positive impression on the system. Descriptive method was utilized in designing and developing the system. There were one hundred forty-two (142) selected respondents from the Staff of Laguna Action Center, Rescue Team, Hospital and Citizen who evaluated the overall performance of the system using checklist questionnaire which contains the criteria such as software design; usability; user friendliness and error handling. From the findings and conclusion of the study, the system is recommended to be used by School and may as well adapt the system. For future programmers, designers, enhancing and adding more flash images can be done to be effective and the future researcher may use this study as a reference when conducting similar study."
LAGUNA STATE POLYTECHNIC UNIVERSITY EXTENSION AND TRAINING SERVICES DOCUMENT MANAGEMENT SYSTEM,"Through the continuous adaptation of the world to the advancement of today’s technology and in depth of conducting profound researches, some innovations help the society most commonly institutions and organizations in improving the manual processes as it moves along to the innovative world. One of the mandated organization in higher education institutions is the extension and training services in recognition of the universities in community development and the Laguna State Polytechnic University (LSPU) is part and Continuously committed to it. However, before achieving an effective extension service, it should come first with the process to ensure its success. The study aimed to offer a conceivable solution to the extension and training services in LSPU by providing a document management system. This could be attain by utilizing an approach of the modern technology most specifically in creating a web- based system with SMS technology as an efficient tool in announcement and notification. It utilizes different methodologies and techniques gathered from related studies and literatures and by consulting specialized IT experts. For validation, the researchers conducted a system demonstration and evaluation using the questionnaires formulated under the ISO 9126 an international software quality- evaluating tool. From the gathered results, it proved that the developed system was highly usable and acceptable to different criteria with a weighted mean result of 4.48. It recommends that the future researchers that will conduct research in relation with this may cater all the needed forms for reports generation to improve further the reliability and efficiency of the system."
SAVELIFE: CONNECTING BLOOD DONORS MOBILE APPLICATION,"Blood donation has been the most focused major service of Philippine Red Cross. In almost a century providing blood donation, Philippine Red Cross is the most visited non-government organization that provides blood for the people who is in needs. The study SaveLIFE is a mobile app focusing on improving the communication between blood donors and blood requestors. According to Department of Health (2013), they are urging to voluntarily donate blood, a practice that is said promotes a healthy lifestyle. However, based on the FDA or Food and Drug Administration Regulation of Mobile Medical Apps that was featured on IBM developer work. Mobile Health apps are now available from 62 application stores. Many of them might soon be regulated as medical devices. The research design used is descriptive study. The study was implemented in Philippine Red Cross Sta. Cruz Chapter. Agile Model is the Software Methodology used in the study. Data were gathered from the Philippine Red Cross Sta. Cruz Chapter and some other people with the use of an evaluation tool. Summary of results of the evaluation are all represented by mean. The findings related to blood donation of blood donors and blood requestors are discussed. However, obstruction to blood donation demonstrated in the results and necessary engagements to address these were recommended for Philippine Red Cross."
PDRRMO INFORMATION MANAGEMENT SYSTEM,"The researchers aimed to design and develop a PDRRMO Information Management System that is explain. The primary objective of this study is to develop and evaluate a system that would improve the current report management system of PDRRMO: Specifically it sought to accomplish the following objectives; (1) To design and develop an automated system that can handle fast generation of retrieval of reports; (2) To conduct a demonstration & examine the developed system addressing the needs of PDRRMO; (3) To evaluate the developed system based on the user acceptance &behavior intention. The method used in the study was the descriptive and developmental type of research and provides survey questioners instrument that will be given to the respondents for conclusion and statistical purposes and to know the respondents feedback on the system. The researchers use Rapid Application Development Model (RAD) which will determine the researcher to return on the proceeding phases until it meets the requirements needed by the client.The level of performance of the system as perceived by the respondent in terms of perceived usefulness, perceived effectiveness, job relevance and output quality was based on the combination of International Organization for Standardization ISO 9126 and Technology Acceptance Model (TAM) as a result of assessment done by the researcher they got an overall average of 4.55 which means that all the respondents strongly agreed on the perceived usefulness in the perceive ease of use the project got an overall weighted average of 4.55 which means all the respondents was strongly agreed. In the perceived effectiveness, the project got an overall weighted average of 4.57 which means all the respondents is strongly agreed, In the job relevance, the project got an overall weighted average of 4.76 which means all he respondents is strongly agreed."
"THE PATROL METHODS IN PILA, LAGUNA: INPUT TO CRIME PREVENTION","This study focused on the extent of implementation of patrol methods in relation to crime prevention in Pila, Laguna. The study involved thirty (30) implementers composed of Police Officers and the Barangay Officials, and fifteen (15) Community Residents who are at least six (6) months residing in Pila, Laguna. The research instrument that was used in this study was adopted from the study of Castañeda (2017) with the guide of the Revised Philippine National Police Operational Procedures of December, 2013. The data were analyzed and interpreted by way of weighted means and standard deviation. Specifically, it sought to answer the following: status of crime in the municipality of Pila, Laguna, level of the implementation on the different patrol methods be described by the police officers, barangay officials and community residents at Pila, Laguna along the specified indicators, significant difference in the level of the implementation on the patrol methods as perceived by the implementers and stake-holders on the aforementioned variables, and the comments and suggestions of the two (2) groups of respondents regarding to the patrol methods implemented by the police in Pila, Laguna. The following results were drawn: there is a downward trend on the total crime volume from 2016 to 2017. Likewise, there was a decrease on the crime solution efficiency on the period covered. The first group of respondents rated as highly implemented while the second group rated as implemented only the extent of implementation of patrol methods along the indicators mentioned. There is a significant difference on the implementation of patrol methods to crime prevention in Pila, Laguna as perceived by the implementers and stake-holders. The findings imply that the profile of the respondents affects their perception on the patrol methods as implemented in Pila, Laguna. Most of the implementers commented for the request for additional PNP Personnel to conduct beat patrol and add mobile cars while the stake-holders suggested patrol activities should be enhanced to include also those far-flung areas and/or areas not usually covered by patrol cars. Key words: Pila, Laguna, Crime Prevention, Patrol, Foot Patrol, Mobile Patrol, Motorcycle Patrol, Implementation"
LSPU SYSTEM SCHOLARSHIP AND FINANCIAL ASSISTANCE RECORD MANAGEMENT SYSTEM WITH SMS ANNOUNCEMENT AND NOTIFICATION,"In this fast changing modern world, the use of Information Technology in organization has evidently improve transactions and daily tasks of employees also it resonates the efficiency of the employee and organization. The researchers recognizes that every organization must adapt in the fast phased technology this is one of the reason of the study focus. The study aims to design and develop an automated system that provides fast record retrieval and compact data storage. Generally, the study would like to provide Laguna State Polytechnic University System - Scholarship and Financial Assistance (SFA) Office a centralized reporting management system for all four (4) campuses. The researchers developed an online record management system which (a) provide student scholar account (b) information dissemination capability and scholars update through SMS (c) SFA account and (d) record retrieval and report generation. The developed online record management system has been evaluated by the students and staff of Scholarship and Financial Assistance – LSPU System. The evaluation tool was adapted from the Technology Acceptance Model Davis (TAM) by Davis, 1989 to measure the user acceptance and behavioral intention of the end user. The developed system was found out to be very useful, very easy to use, end user are planning and willing to use it in the future, relevant and very good in terms of output quality. In this matter, the researchers highly recommended that the people who will use this kind of innovation must be well educated or proficient in using different technologies in this generation. Keywords: Record Management System, SMS Technology, Technology Acceptance Model"
E-GYNE: MOBILE APPLICATION FOR WOMEN’S HEALTH,"e-Gyne: Mobile Application for Women’s Health is a decision-support mobile application that will serve as an alternative guide that is specifically designed and developed for the use of women. This mobile application will give medical information that is gathered from obstetrician and gynecologist about female reproductive health focusing on minor gynecological related problems. This trusted, comprehensive mobile resource includes basic medications, preventions and gynecologic diseases to aware women. The study aimed to assess the developed e-Gyne mobile application that would provide medical information that would benefit women. Specifically, the study sought to achieve the following objectives: (1) to develop a mobile application for women’s reproductive health focusing on gynecology (2) to evaluate the mobile application based on the software product standards (3) to assess the mobile application based on the user acceptance and behavioral intention of the intended users. The study is on descriptive level and have used survey questionnaires for the testing of the mobile application in compliance with the ISO 25010 standard for the IT experts and Technology Acceptance Model (TAM) for the intended users. The data were based on the questionnaire returns of one hundred twenty-three (123) female students of LSPU Main Campus, five (5) IT Experts from different companies and two (2) Ob/Gyne’s from different hospital. This was done to acquire the necessary data to determine the efficiency and the effectiveness of the system and ensure that it was accepted by the intended users. The feedbacks gathered after the survey conducted by the researchers, showed that the respondents were determined to use the mobile application. In conclusion that is justified based on the data gathered, it is safe to say that the mobile application met the objectives needed to satisfy the intended users of the mobile application. In the light of the findings and conclusion of the present study, the use mobile application is recommended for the betterment of women. For future researchers, development of real-time messaging where the users could share their insights, thoughts and questions with the Ob/Gyne’s, support of various Operating Systems not limited to Android Operating Systems, and More emphasis on the coverage of women’s health in general are recommended to further enhance the mobile application. This study may serve as a springboard for increasing incentives and the desire to improve healthcare on mobile applications."
TILA: T.L.E. INTERACTIVE LEARNING AID,"T.I.L.A: TLE Interactive Learning Aid is 3D environmental software using Unity 3D Engine and C# aimed to create a learning aid system that will innovate the traditional teaching using technology and enhance the student’s interest in studying the T.L.E subject. The researchers created software that showcases lessons in 3D environment, 3D objects, pictures and videos. The study aims the following: 1. To identify the problems encountered by the teacher in teaching the T.L.E. subject; 2. To determine the suitable programming language and application software for the developed system; 3. To determine the difference of student’s performance in pre-test and post-test; 4. To determine the level of acceptability of the system in terms of usability and cost benefit. usability, reliability, efficiency, maintainability, functionality and portability. The research design used was the descriptive and developmental research. ADDIE is the software methodology used in the study. The researchers conducted a system evaluation with the 94 High School students of Don Manuel Rivera Memorial National High School using the Likert scale. The researchers also conducted a pre-test and post-test to determine the significant effect of the software after the students use it. The overall results of the system evaluation by the high school students of Don Manuel Rivera Memorial National High School was represented by mean. Based on the gathered results, the study was able to meet its goal and objective which is to build a 3D software learning aid that consist lessons based on the module with pictures, videos, 3D objects and 3D environment. As a useful tool for providing lessons to the student, the researchers highly recommend adding some recommendations: Enhance software by adding other functionalities that will improve the functionality of the software and for the future researchers to expand the capabilities of the system by adding accounts and graded quizzes."
FATE/FLAMES OF REVOLUTION A VISUAL NOVEL TYPE GAME USING VIRTUAL REALITY,"The researchers developed a mobile application game entitled Fate / Flames of Revolution a Visual Novel type game using Virtual reality .The 3 Main Objectives of the study is to 1. To develop a game that can appeal to children through simple gameplay and technology that should gain their interests. 2 create a game that can make player have fun while learning history through giving facts in the game while having them play a game-mode.3 make a game that can teach users about the History of the Philippines. The main purpose of the Fate/Flames of Revolution is to make learning the history of the Philippines or to be more accurate the history of The Phillippines to be more interesting to the users than with a book and a video with an interesting story line to make the user more enthralled and making it interactive to make the user more focus in the game and keep them interested on what information the game may give. The researchers have reached the conclusion that The Application entitled “Fate Flames of revolution” is appealing to the target audience, given their reactions and interest about the application during the testing or Deployment of the game.Can make the users have fun while playing the game for how they reacted during and after playing the game and also their comments in the evaluation tool. Can be an effective learning tool for how the students improve their test scores during the Pre-Test and Post-test."
THE BIBLE WARRIOR (VIRTUAL REALITY),"The researchers developed a mobile application entitled “The Bible Warrior using Virtual Reality”. This study aims to; 1. To create an adaptive virtual environment that needs of the students in learning the Bible story. 2. To develop scenarios that can navigate in different modes in adapting the Bible story. 3. To assess the game application build literacy skill, activities for students and users. In the development of the game, guided questions be situated placed in attaining the success of the study. The game required answers from senior high school students of St. Therese School of Arts and Science to find the level of performance of the game in terms of design; functionality; reliability, usability, efficiency, maintainability and Portability. The Bible Warrior showed that respondents had a positive impression on the game. There were fifty (50) selected respondents from the St. Therese School of Arts and Science who evaluated the overall performance of the game using questionnaire which contains the criteria such as functionality, reliability, usability, efficiency, maintainability, and portability. From the findings and inference of the study, the game is mentioned to be used by the St. Therese School of Arts and Science. For future programmers, can utilize this field as a template or reference for their own works and when conducting similar study."
LAGUNA GENSERV CROSS-PLATFORM WEB AND MOBILE APPLICATION,"In today’s generation, in the fast phase life people they tend to demand for services immediately. General services are the common services in which people tend to seek however, it is the most difficult services to search for. Quality services with in a budget is hard to find. General Service providers usually use different media to market their services like posters and fliers. In the recent years, social media has been one of the most effective medium to market their services. Capturing the business models by established online shopping platform. The developed system would like to provide the Province of Laguna blue collar job workers or free-lance server providers a venue to market themselves and advertise the services they offer. Providing the service providers profile for job portfolio so that client can have an access on their job performance and client ratings. The study aims to develop and assess an automated platform – considering both Mobile and Web Application that would handle clients and service providers’ account and transaction management. The developed system was generally accepted by the intended users during the demonstration and evaluation phase. Based on the findings, the Laguna GenServ: Cross-Platform Web and Mobile Application, The developed system was developed the Province of Laguna only, it is recommended to further improve the system focus on the profitability based on the business model for profit, also it is recommended to build another version of the developed system based on the ISO standards and evaluated by the Ecommerce experts."
TRIP SA LAGUNA: MOBILE APPLICATION SYSTEM (TRAVEL ASSISTANT),"Trip sa Laguna: Mobile Application System (Travel Assistant) was designed to give information about the must to visit destination for the tourists also it provides online map with GPS geolocation to know the route on how to get in certain location. List of festivals and events to watch out in Laguna. Provides list of interesting resorts, falls, tourist spots and other establishments also the tourist destination in the Province of Laguna. The Android Application Trip to Laguna is a travel buddy of a tourists in the province of Laguna. The researchers developed a system Trip sa Laguna: Mobile Application System (Travel Assistant). This study aims to; 1. To develop a mobile application that can give information to the user about the destination in Laguna, 2.To build a mobile application that can promote all tourist destination in the province of Laguna, 3. To develop a mobile application that have maps route to easily get in certain location and cost for the transportation mode. The study used the descriptive method, where survey, interview and observation were conducted. The interview and observation was used in gathering the data and information that would be used in developing the system. The researchers also designed a questionnaire survey tool that would be used in statistical purpose and finding conclusion. In the development of the system, guided questions were laid in attaining the success of the study. The system required answers from tourist, LTCATO Staffs and Municipal tourism officers to find the level of performance of the system in terms of system functionality, Reliability, Usability, Efficiency, Maintainability and Portability. The developed mobile application was concluded that it successfully met the needs information about the specific destination in Laguna and gave the accurate data and background of the specific tourist spot. As the system was evaluated, there were some recommendation and suggestion that are given. The mobile application should have a website intended for LTCATO to use for the updates of new information or data of tourist destination in the province of Laguna and to have direct contact to municipal offices in the province of Laguna."
"FAMS:”WEB-BASED FARM MONITORING SYSTEM WITH 3D MAPPING FOR BRGY. STA CLARA SUR PILA, LAGUNA”","The researchers developed an application entitled “ER: Emergency Response with SMS technology. This study aims to; 1. to design a system that will give information to the hospital about the patient’s condition; 2. to create a system that will send SMS notification to the doctor whose expertise lies within the patient's condition based on the gathered data in the ambulance. To identify their weaknesses in terms of places inside the Philippines; 3. to evaluate the ER: Emergency Response with SMS Technology using TAM and ISO standard. In the development of the system, guided questions were laid in attaining the success of the study. The system required answers from students  and teachers of Laguna State Polytechnic University (LSPU) to find the level of performance of the system in terms of system design; system usability; user friendliness, error handling and system security. The study used the descriptive method of search to analyze the data systematically. The research method describes what actually exist such as present condition, events of the system based on the impression and the reaction of the respondents. The data gathered from the respondents were analyzed, tabulated and interpreted using statistical tools. The result of the study conducted. ER: Emergency Response with SMS Technology showed that respondents had a positive impression on the system. Descriptive method was utilized in designing and developing the system. There were one hundred forty-two (142) selected respondents from the Staff of Laguna Action Center, Rescue Team, Hospital and Citizen who evaluated the overall performance of the system using checklist questionnaire which contains the criteria such as software design; usability; user friendliness and error handling. From the findings and conclusion of the study, the system is recommended to be used by School and may as well adapt the system. For future programmers, designers, enhancing and adding more flash images can be done to be effective and the future researcher may use this study as a reference when conducting similar study."
E-DOC: LSPU DOCUMENT TRACKING AND SCHEDULING SYSTEM WITH SMS NOTIFICATION,"Technology has proven to benefit human experience and achievement in many ways and has become a growing aspect of visitor engagement, documentation, and research in museums. Today’s businesses are up against more challenges than ever in the past. With technology having such a massive influence on just about every aspect of modern-day business, organizations in just about every industry struggle with how to best approach the workday. One of the biggest effects that modern technology has had on business operations revolve. Over the years, paper is still an important information carrier, even in our more and more electronically penetrated environment. Every day we use paper documents in our office, even when electronic versions of the documents are available. Instead of replacing the paper completely as developed by the myth of the paperless office, new ways for better integrating paper into our daily work are needed. For this reason, new ways are required for the handling of paper documents, integrating them to one’s best in our workflow instead of substituting them. Documents come in the form of both paper and electronic. For ages, businesses have been following a paper-based document management model. However, technology for document processing has been mostly limited to better and faster ways to generate, print, and transport text documents. Now several trends and developments suggest that we are on the verge of a major advance in computer based information management. Document management focuses on the organization of documents to support active work in progress, including content creation and sharing within an organization. When organizations do not have any kind of formal document management system in place, content is often created and saved in an unmanaged and decentralized way on scattered file shares. This process is amazingly time consuming and too often ignored."
3D INFODELO: LSPU AUGMENTED REALITY 3D INFORMATION MODEL AND LOCATOR,"Advancement in technology has helped society and industrialization progress in many different aspects. Society has been deeply indulged with the present day advancement of technology that it has become even more difficult for one to live or survive without it. As one would compare from past to present, it is evident that the present day technology continues to be beneficial to society. In terms of communication, medicine, transportation as well as navigational directions, technology has become the basis for how one would live in this present day civilization. Navigational directions are a useful tool for everyone who is unfamiliar to a certain place. It is used by some establishments such as supermarkets, hospitals, hotels and schools. It is also imperative to understand the directory in a school and having accurate information about the various locations, process and personnel. Locator that provides information has its similarities to a map. The slight difference is that the map has limited information which only includes information about the location. On the other hand, the information model and locator provides multiple details about the specific location, enrollment processes and personnel. Having precise information is essential because it helps students, instructors and visitors efficiently reach their location. Moreover, it also prevents delay due to wrong details. An accurate data that will serve as a guide of every user makes the information model and locator more effective. Whether the student is well-familiarized or a newbie or a a beginner, the proper process during enrollment is also important since the biggest error derive from smaller errors. Hence, the operation will be at ease yet effective."
CALEMS: CCS ADVANCE LABORATORY ELECTRIC MANAGEMENT SYSTEM,"The ability to adapt and learn has been considered the hallmark and intelligence, but being innovative is not easy to achieve. The study makes through a long process to gather information for a building procedure. This system will give you an overview in the world of automation with the application of CALEMS: CCS Advance Laboratory Electric Management System. This project presents a low cost, flexible and standalone electricity control and monitoring system using an embedded Arduino micro-web server, with Ethernet connectivity for accessing and controlling of all laboratory rooms electricity in College of Computer Studies, Laguna State Polytechnic University using home automation system based and smart phones. This project shows how to set up an Arduino with Ethernet shield as a web server. The web server in this project are used to serve up web pages that can be accessed from a web browser and allows our hardware to be controlled from web browser. About the current technology that could make the system easy to manage and accurate for every professors and personnel who only authorized to access the laboratory room. Security requires the use of biometric to identify who are the first and last professor who used each specified computer laboratory room and also to know the current status of it and will be given a much better way which saves a lot of time for both the IT staffs and Faculty members. Devices such as fire, smoke/gas sensor, temperature sensor and buzzer notice / alarm have been integrated in the system to demonstrate the feasibility and effectiveness of the proposed smart home system."
CROSS-PLATFORM UNIFIED PRESIDENT REPORT,"The researchers developed a system entitled “Cross-platform Unified Presidents Report”. This study aims to; (1) to analyze the current process of handling president report management system; (2) to design a web and mobile application that will help the users manage reports; (3) to evaluate the “Cross- platform Unified Presidents Report” with regards to the user acceptance and behavioral intention of the intended users. In the development of the system, guided questions were situated placed in attaining the success of the study. The system required answers from the Unit heads of Laguna State Polytechnic University to find the performance of the system in terms of quality factors, perceived ease of use, experience, perceived usefulness, attitude, behavioral intention, and actual use. The Cross-platform Unified Presidents Report showed that the respondents had a positive impression on the system. There were eighteen (18) selected respondents from the Laguna State Polytechnic University who evaluated the performance of the system using questionnaires which contained the criteria such as quality factors, perceived ease of use, experience, perceived usefulness, attitude, behavioral intention, and actual use. From the findings and inference of the study, the system is mentioned to be used by the Laguna State Polytechnic University. For future programmers, can utilize this field as a template or reference for their own works and when conducting similar study."
E-STENO:A MOBILE STENOGRAPHY COURSEWARE WITH STROKE SCANNING CAPABILITY,"The application and implementation of the E- steno: A Mobile Stenography Courseware with Stroke Scanning Capability helps the students to have tool in the study, learning. The students can study stenography and practice stroke writing conveniently in the application. The study is intended to design and develop a mobile application courseware that is mainly for the use of students currently enrolled in stenography subject to be educated effectively in its field. Students can have the foundation in learning stenography that can be used in advancing their knowledge to be more productive in school. The study was done by conducting survey, interviewing stenography students and instructor of BS Office Administration Student at Laguna State Polytechnic University. In the realization process the main problem is that Office Administration students in LSPU encountered difficulty in learning stenography. Learners experience tensions while studying shorthand because every symbol written is needed to be accurate and precise. By providing effective tools needed to study stenography such as the mobile stenography courseware can really helps the students advance their learning in the subject. To determine the overall performance of the application, the proponents used an evaluation tool which includes various factors such as Functionality, Reliability, Usability Efficiency, Maintainability and Portability. The proponents distributed the evaluation form to the BS Office Administration Students and one Stenography Instructor. They tested and used the application and evaluated the performance according to the phrases written on the evaluation form. To determine the overall performance of the application, the researchers used weighted mean. The overall performance is verbally interpreted as very satisfactory with the weighted mean of 4.60. With the use of the evaluation tool, the researchers found out that the application is a great help for the students. The developed application was tested numerous times and based on the findings, the following conclusion drawn first the application E-Steno: A Mobile Stenography Courseware with Stroke Scanning Capability serves as a guide for those who wants to learn more on stenography. Second the development tools used to develop the application was proven effective based on the evaluation results of the application.Lastly, the Functionality, Reliability, Usability, Efficiency, Maintainability and Portability of the application e-Steno was evaluated by the students of Office Administration and Stenography expert wherein the overall result was verbally interpreted as “Very Satisfactory”."
THE CHEMISTRY OF SOLUTION: CHEMISTRY COURSEWARE WITH VIRTUAL REALITY LABORATORY SIMULATION,"The researchers developed a mobile application entitled “The Chemistry of Solution: Chemistry Courseware with Virtual Reality Laboratory Simulation” helps to provide interactive lesson and performing laboratory in a safety way that promote the effectiveness of VR in teaching chemistry which serve as a learning tool intended for Grade 7 students of Liceo De Pila for their study; In the development of the mobile application, guided questions were laid in attaining the success of the study. The mobile application required answers from Grade seven (7) students of Liceo De Pila using ISO evaluation to find the level of performance of the system in terms of functionality, reliability, usability, efficiency, maintainability and portability. The researchers used the descriptive method of search to analyze the data systematically. For the Research Methodology the researcher used Agile Scrum Model it has five phases the following are: Product Backlog Creation, Sprint Planning and Sprint Backlog, Working on the Sprint, Testing and Product Demonstration, Retrospective and Next Sprint Planning. From the findings and conclusion of the study, the mobile application is recommended to be used by School of Liceo De Pila and may as well adapt the mobile application. For future programmers, designers, enhance the animation and sound effects, add more topic and provide some video tutorial for experiments that can be useful to be more effective and interactive learning tools; and the future researcher may use this study as a guide or reference for their own studies."
CROSS PLATFORM FIRE EMERGENCY RESPONSE SYSTEM,"The study involves the modernization of sending alert message or getting a help during a fire incident. The goal is to help the citizens in the fastest way during a fire disaster by sending an alert using the modern technology nowadays. The rapid advancement and continuous progress of technological innovation in today’s world is greatly affecting everyone’s lives making it easier and minimizing the efforts needed. Technology is widely used to improve the quality of one’s work. Computer and smartphone being the best technological innovations are commonly used as to this generation and being relied on by users in their everyday routine. Cross Platform, Emergency Response System is based intelligent fire emergency response system that can control directional guidance intelligently according to the time and location of a disaster and the design of an integrated control system using GPS sensor and networks to address the problems with existing fire emergencyresponse systems in times of fire disaster. This approach not only can improve the capacity of local agencies to respond to unexpected events but also will contribute to build resilient communities aware of risks and able to mobilize their social capital to cope with disasters. In this paper, the researchers discuss how to use IT technology to substantively empower both citizens and organizations to move to a participatory and process that benefits from social capital and generates useful knowledge that can be integrated in the EM process."
